news_report_url;news_report_headline;news_report_platform;date_of_publication;author;wire_service;Notes;NO OF SUBS
http://huisgenoot.com/nuus/hoekom-is-marthella-gemartel/;Hoekom is Marthella gemartel_;HUISGENOOT;21/11/2013;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.heraldlive.co.za/teen-guilty-of-easter-horror/;Teen guilty of Easter horror - HeraldLIVE;EPH;28/03/2014;Leonie Wagner;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://citizen.co.za/97331/steenkamp-murders-planned-state/;Steenkamp murders were planned - State _ The Citizen;CITIZEN;09/12/2013;SAPA;SAPA ;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sowetanlive.co.za/news/2012/08/24/small-community-told-teen-killed-his-family;Small community told teen 'killed his family' - Sowetan LIVE;SOWETAN;24/08/2012;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sarie.com/bekendes/het-jy-gehoor-bekendes/griekwastadmoorde-seun-gevonnis/;Griekwastadmoorde_ Seun gevonnis _ SARIE;SARIE;13/08/2013;STAFF;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://drum.co.za/news/no-stranger-in-steenkamp-house/;No stranger in Steenkamp house _ DRUM;DRUM;27/03/2014;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.news24.com/SouthAfrica/News/Griekwastad-murders-Cops-look-at-SMSes-20120613;Griekwastad murders_ Cops look at SMSes;N24;13/06/2012;STAFF;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2014-08-16-ek-mis-vir-marthella-don-maar-dis-verby?redirect_from=volksblad;Ek mis vir Marthella, Don, maar dis verby’ _ Netwerk24;VOLKSBLAD;16/08/2014;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2015-03-02-don-steenkamp-nou-reguit-na-applhof;Don Steenkamp nou reguit na appèlhof _ Netwerk24;VOLKSBLAD;02/03/2015;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2014-03-27-skuldig?redirect_from=volksblad;Skuldig _ Netwerk24;VOLKSBLAD;27/03/2014;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2013-11-20-verkragting-s-verdoesel?redirect_from=volksblad;Verkragting só verdoesel’ _ Netwerk24;VOLKSBLAD;20/11/2013;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2013-11-09-griekwastad-moorde-raaisel-van-rooi-merk;Griekwastad-moorde_ Raaisel van rooi merk _ Netwerk24;VOLKSBLAD;08/11/2013;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.timeslive.co.za/local/2014/06/24/griekwastad-trial-adjourns-for-sentencing;ND;TIMES;24/04/2014;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.news24.com/SouthAfrica/News/No-semen-found-on-Griekwastad-body-20131104;No semen found on Griekwastad body _ News24;N24;11/05/2013;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.iol.co.za/news/crime-courts/griquatown-killer-set-to-appeal-1.1744478;Griquatown killer set to appeal _ IOL;DFA;02/09/2014;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.iol.co.za/news/crime-courts/guilty-griquatown-teen-shows-no-emotion-1.1667263;Guilty Griquatown teen shows no emotion _ IOL;DFA;27/03/2014;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.news24.com/SouthAfrica/News/Steenkamp-gran-He-doesnt-know-what-he-did-20140814;Steenkamp gran_ He doesnít know what he did _ News24;N24;14/08/2014;STAFF;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://mg.co.za/article/2013-11-04-griekwastad-murders-no-semen-found-on-body;Griekwastad murders_ No semen found on body _ News _ National _ M&G;MG ;04/11/2013;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2013-10-31-griekwastad-verhoor-gaan-voort-ondanks-bekentenis?redirect_from=dieburger#!/artikel/path:2013-10-31-griekwastad-verh/nie-geweet-geld-is-so-stom;Griekwastad_ Vervolgingspan gaan voort _ Netwerk24;BURGER;31/10/2013;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://news.iafrica.com/sa/958057.html;iafrica griekwastad;IAFRICA;02/09/2014;Zunaid Ismael;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Girl 'fought like tiger' with killer;NA;WA;29/10/2016;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Nuwe inligting' gee Don Steenkamp Hoop;NA;BURGER;21/11/2013;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Farm rampage sparked by rape';NA;STAR;21/11/2013;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Rape sparked bloody rampage;NA;DFA;29/03/2014;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Teen killer show no emotion after guilty verdict;NA;SS;10/10/2016;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don 'vol hoop oor toekoms en apelaansoek';NA;VOLKSBLAD;21/11/2013;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Killer with a kind heart;NA;DFA;15/11/2013;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Judge questions assassin motive;NA;DFA;07/11/2013;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
T-shirt torn by force;NA;DFA;13/04/2012;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Residents mourn the murdered family;NA;DFA;28/03/2014;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Boy guilty of killing family;NA;TIMES;14/11/2013;Leonie Wagner;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Bloedspoor;NA;VOLKSBLAD;27/03/2013;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Thousands missing from safe;NA;DFA;15/05/2014;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Marthella het altyd gelag se skoolhoof;NA;VOLKSBLAD;21/03/2013;Vicus Burger;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Ek's life vir jou,' se sy glo sterf;NA;BEELD;11/10/2016;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don se regspan kan 'een van twee wee volg';NA;VOLKSBLAD;10/10/2016;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don Steenkamp 'hoopvol vir toekoms, appel';NA;BEELD;25/03/2017;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Don Steenkamp se ouma sterf;NA;SATURDAY VOLKSBLAD;28/03/2014;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Bail revoked of teen who killed family;NA;CA;07/11/2013;SAPA STAFF;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Video maak hof stil;NA;VOLKSBLAD;20/11/2013;Charne Kemp;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
Teen's 'playing dumb' doesn't convince state;NA;STAR;28/03/2014;Sandi Kwon Hoo;;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
